".rownames","pop.fctr"
2,"ultra"
3,"pico"
7,"ultra"
8,"ultra"
9,"pico"
10,"pico"
12,"ultra"
15,"nano"
18,"ultra"
20,"pico"
21,"pico"
22,"nano"
23,"pico"
25,"ultra"
29,"nano"
32,"ultra"
34,"nano"
35,"pico"
37,"ultra"
39,"ultra"
41,"pico"
42,"synecho"
43,"pico"
44,"synecho"
46,"nano"
47,"pico"
49,"nano"
58,"pico"
60,"pico"
61,"ultra"
62,"nano"
63,"pico"
64,"pico"
67,"pico"
68,"ultra"
70,"pico"
72,"pico"
73,"nano"
74,"nano"
75,"ultra"
78,"synecho"
80,"pico"
81,"pico"
85,"ultra"
87,"ultra"
90,"ultra"
91,"ultra"
92,"pico"
93,"ultra"
94,"pico"
95,"nano"
96,"nano"
97,"pico"
99,"synecho"
100,"pico"
103,"ultra"
107,"ultra"
108,"nano"
110,"pico"
111,"nano"
112,"ultra"
113,"synecho"
114,"nano"
119,"nano"
120,"nano"
122,"ultra"
127,"synecho"
130,"ultra"
132,"synecho"
134,"nano"
136,"ultra"
139,"synecho"
141,"synecho"
148,"nano"
152,"synecho"
153,"nano"
154,"synecho"
155,"synecho"
156,"pico"
158,"ultra"
159,"nano"
160,"synecho"
162,"synecho"
165,"synecho"
168,"ultra"
169,"ultra"
170,"nano"
172,"synecho"
173,"nano"
174,"nano"
175,"ultra"
176,"pico"
178,"ultra"
180,"pico"
183,"pico"
184,"pico"
186,"nano"
190,"pico"
191,"synecho"
196,"pico"
198,"synecho"
202,"nano"
203,"nano"
204,"synecho"
205,"pico"
206,"pico"
207,"pico"
209,"ultra"
211,"ultra"
212,"ultra"
214,"ultra"
218,"synecho"
219,"pico"
220,"pico"
221,"pico"
225,"ultra"
227,"ultra"
230,"synecho"
231,"ultra"
235,"pico"
241,"synecho"
242,"ultra"
244,"ultra"
246,"pico"
249,"nano"
252,"pico"
253,"ultra"
257,"ultra"
259,"pico"
261,"pico"
262,"synecho"
263,"nano"
265,"ultra"
266,"pico"
271,"ultra"
272,"synecho"
273,"ultra"
274,"pico"
276,"ultra"
278,"pico"
281,"nano"
283,"nano"
284,"synecho"
291,"ultra"
293,"pico"
298,"pico"
301,"nano"
302,"pico"
304,"synecho"
305,"ultra"
309,"synecho"
310,"pico"
311,"ultra"
312,"ultra"
316,"pico"
317,"pico"
318,"pico"
321,"synecho"
322,"ultra"
323,"ultra"
324,"ultra"
327,"synecho"
329,"ultra"
332,"ultra"
333,"pico"
337,"ultra"
339,"ultra"
343,"synecho"
345,"nano"
346,"synecho"
350,"pico"
351,"pico"
355,"pico"
357,"synecho"
358,"pico"
359,"pico"
360,"ultra"
362,"ultra"
363,"pico"
366,"nano"
369,"nano"
372,"nano"
378,"ultra"
381,"pico"
382,"ultra"
383,"nano"
385,"synecho"
387,"synecho"
390,"pico"
392,"synecho"
394,"pico"
396,"synecho"
397,"pico"
398,"synecho"
400,"pico"
401,"nano"
403,"nano"
405,"pico"
406,"pico"
407,"pico"
408,"pico"
409,"pico"
410,"pico"
412,"synecho"
414,"ultra"
415,"synecho"
416,"nano"
417,"nano"
418,"ultra"
419,"synecho"
421,"ultra"
422,"ultra"
425,"synecho"
426,"ultra"
429,"pico"
430,"nano"
433,"ultra"
435,"synecho"
439,"ultra"
441,"pico"
442,"ultra"
443,"ultra"
444,"pico"
446,"synecho"
449,"nano"
450,"pico"
455,"ultra"
457,"synecho"
461,"synecho"
462,"ultra"
463,"pico"
465,"nano"
467,"nano"
470,"pico"
473,"ultra"
474,"synecho"
476,"nano"
477,"ultra"
480,"ultra"
481,"pico"
485,"pico"
487,"ultra"
488,"ultra"
489,"pico"
492,"ultra"
495,"synecho"
496,"pico"
497,"nano"
498,"ultra"
502,"pico"
503,"synecho"
504,"pico"
505,"pico"
506,"synecho"
507,"ultra"
508,"synecho"
510,"nano"
512,"pico"
515,"synecho"
517,"nano"
518,"ultra"
519,"pico"
520,"nano"
522,"synecho"
523,"pico"
524,"pico"
526,"ultra"
527,"pico"
528,"nano"
532,"pico"
535,"pico"
542,"synecho"
544,"ultra"
545,"ultra"
549,"synecho"
550,"pico"
551,"nano"
555,"ultra"
556,"pico"
557,"pico"
559,"nano"
564,"pico"
566,"pico"
568,"ultra"
569,"synecho"
570,"ultra"
571,"synecho"
572,"pico"
574,"synecho"
575,"ultra"
576,"synecho"
578,"ultra"
580,"pico"
582,"pico"
583,"ultra"
587,"synecho"
589,"ultra"
590,"pico"
591,"synecho"
593,"ultra"
594,"ultra"
595,"synecho"
596,"pico"
598,"pico"
600,"ultra"
602,"ultra"
604,"synecho"
605,"nano"
608,"pico"
610,"synecho"
611,"ultra"
612,"ultra"
618,"synecho"
620,"synecho"
623,"synecho"
627,"pico"
629,"pico"
630,"ultra"
633,"ultra"
635,"ultra"
636,"ultra"
637,"synecho"
639,"synecho"
640,"pico"
641,"pico"
643,"ultra"
645,"ultra"
646,"pico"
647,"ultra"
649,"nano"
654,"synecho"
655,"pico"
656,"pico"
657,"nano"
658,"ultra"
660,"ultra"
662,"nano"
664,"synecho"
667,"pico"
670,"synecho"
671,"nano"
672,"synecho"
674,"ultra"
675,"pico"
676,"pico"
677,"pico"
680,"pico"
689,"synecho"
691,"ultra"
692,"ultra"
696,"ultra"
699,"synecho"
700,"ultra"
701,"pico"
703,"pico"
705,"ultra"
706,"synecho"
711,"ultra"
713,"ultra"
714,"synecho"
716,"ultra"
719,"pico"
720,"nano"
721,"pico"
724,"pico"
726,"ultra"
727,"nano"
728,"pico"
729,"ultra"
731,"ultra"
733,"nano"
735,"nano"
736,"pico"
737,"synecho"
740,"pico"
744,"ultra"
746,"ultra"
747,"pico"
751,"pico"
752,"ultra"
754,"synecho"
755,"pico"
756,"pico"
759,"ultra"
760,"synecho"
763,"ultra"
764,"pico"
765,"synecho"
766,"nano"
767,"nano"
770,"nano"
771,"ultra"
772,"ultra"
773,"pico"
774,"pico"
775,"pico"
777,"nano"
778,"nano"
780,"synecho"
782,"ultra"
783,"pico"
784,"pico"
786,"ultra"
787,"pico"
790,"ultra"
793,"synecho"
796,"ultra"
798,"nano"
800,"pico"
802,"ultra"
804,"pico"
805,"ultra"
806,"nano"
807,"nano"
808,"synecho"
810,"ultra"
811,"nano"
813,"ultra"
815,"ultra"
818,"synecho"
819,"synecho"
820,"pico"
821,"pico"
822,"pico"
824,"synecho"
827,"ultra"
829,"nano"
832,"pico"
833,"pico"
834,"ultra"
839,"synecho"
842,"ultra"
843,"ultra"
844,"synecho"
850,"nano"
851,"ultra"
856,"pico"
857,"ultra"
858,"ultra"
861,"ultra"
864,"synecho"
874,"ultra"
876,"synecho"
879,"ultra"
880,"nano"
881,"pico"
882,"synecho"
883,"pico"
885,"pico"
886,"pico"
887,"synecho"
888,"nano"
890,"nano"
891,"ultra"
892,"ultra"
894,"pico"
895,"pico"
897,"pico"
899,"pico"
900,"synecho"
901,"pico"
904,"nano"
912,"nano"
915,"nano"
917,"synecho"
918,"synecho"
919,"pico"
921,"ultra"
923,"synecho"
925,"ultra"
926,"pico"
927,"ultra"
928,"nano"
930,"pico"
933,"pico"
934,"pico"
939,"synecho"
941,"ultra"
942,"pico"
945,"ultra"
946,"synecho"
949,"ultra"
954,"ultra"
959,"pico"
960,"nano"
965,"nano"
966,"synecho"
968,"nano"
969,"nano"
971,"pico"
973,"pico"
975,"pico"
977,"ultra"
979,"ultra"
981,"ultra"
983,"pico"
986,"ultra"
991,"nano"
992,"pico"
993,"pico"
994,"pico"
998,"synecho"
999,"ultra"
1000,"synecho"
1001,"ultra"
1002,"pico"
1008,"pico"
1010,"synecho"
1013,"pico"
1017,"ultra"
1019,"ultra"
1020,"pico"
1021,"ultra"
1023,"pico"
1025,"nano"
1026,"pico"
1030,"ultra"
1032,"nano"
1035,"pico"
1036,"nano"
1037,"pico"
1038,"pico"
1040,"ultra"
1041,"synecho"
1042,"nano"
1044,"synecho"
1045,"ultra"
1048,"pico"
1049,"ultra"
1053,"nano"
1055,"nano"
1056,"ultra"
1058,"pico"
1059,"nano"
1062,"synecho"
1063,"ultra"
1065,"pico"
1070,"synecho"
1071,"nano"
1072,"nano"
1077,"ultra"
1078,"ultra"
1082,"pico"
1083,"ultra"
1089,"pico"
1091,"synecho"
1092,"nano"
1095,"pico"
1096,"ultra"
1097,"ultra"
1098,"nano"
1099,"pico"
1100,"nano"
1105,"pico"
1106,"ultra"
1107,"pico"
1108,"nano"
1109,"pico"
1113,"nano"
1115,"synecho"
1116,"ultra"
1117,"pico"
1119,"pico"
1120,"pico"
1123,"synecho"
1125,"ultra"
1126,"ultra"
1129,"ultra"
1130,"pico"
1133,"ultra"
1134,"pico"
1137,"pico"
1138,"nano"
1139,"nano"
1140,"synecho"
1148,"pico"
1150,"ultra"
1151,"ultra"
1152,"nano"
1153,"synecho"
1154,"synecho"
1155,"ultra"
1156,"pico"
1157,"synecho"
1159,"pico"
1161,"ultra"
1162,"ultra"
1163,"nano"
1164,"synecho"
1165,"synecho"
1166,"ultra"
1167,"ultra"
1168,"pico"
1171,"ultra"
1176,"ultra"
1177,"synecho"
1180,"pico"
1181,"ultra"
1185,"ultra"
1187,"synecho"
1190,"ultra"
1193,"nano"
1195,"synecho"
1196,"pico"
1198,"pico"
1201,"pico"
1202,"nano"
1203,"nano"
1206,"nano"
1207,"nano"
1208,"ultra"
1209,"ultra"
1212,"synecho"
1220,"ultra"
1221,"synecho"
1223,"ultra"
1224,"synecho"
1225,"ultra"
1226,"synecho"
1227,"pico"
1233,"synecho"
1234,"ultra"
1236,"pico"
1238,"ultra"
1239,"pico"
1241,"pico"
1242,"synecho"
1244,"nano"
1245,"ultra"
1248,"ultra"
1250,"ultra"
1252,"pico"
1253,"pico"
1254,"ultra"
1255,"synecho"
1259,"synecho"
1262,"nano"
1264,"ultra"
1269,"ultra"
1271,"synecho"
1274,"ultra"
1277,"ultra"
1278,"pico"
1280,"pico"
1282,"pico"
1284,"ultra"
1286,"pico"
1287,"ultra"
1288,"ultra"
1290,"ultra"
1291,"nano"
1292,"pico"
1293,"synecho"
1294,"nano"
1301,"ultra"
1303,"synecho"
1304,"synecho"
1308,"pico"
1309,"pico"
1310,"ultra"
1315,"pico"
1316,"ultra"
1317,"pico"
1318,"pico"
1320,"nano"
1322,"ultra"
1324,"ultra"
1327,"ultra"
1328,"pico"
1330,"synecho"
1331,"ultra"
1332,"nano"
1334,"ultra"
1335,"pico"
1339,"ultra"
1340,"nano"
1344,"synecho"
1347,"ultra"
1350,"ultra"
1355,"ultra"
1358,"pico"
1359,"pico"
1360,"pico"
1362,"nano"
1363,"ultra"
1366,"synecho"
1371,"ultra"
1373,"pico"
1381,"ultra"
1382,"nano"
1386,"pico"
1388,"ultra"
1390,"nano"
1392,"pico"
1394,"ultra"
1396,"ultra"
1398,"pico"
1399,"ultra"
1401,"pico"
1405,"pico"
1406,"pico"
1408,"pico"
1410,"synecho"
1411,"ultra"
1412,"ultra"
1413,"synecho"
1416,"pico"
1417,"ultra"
1418,"ultra"
1424,"ultra"
1425,"ultra"
1426,"pico"
1428,"pico"
1429,"pico"
1432,"ultra"
1433,"ultra"
1434,"synecho"
1435,"pico"
1438,"synecho"
1439,"pico"
1440,"pico"
1443,"ultra"
1445,"ultra"
1446,"pico"
1449,"ultra"
1451,"synecho"
1454,"pico"
1456,"synecho"
1460,"nano"
1461,"nano"
1463,"ultra"
1464,"pico"
1465,"pico"
1466,"ultra"
1467,"nano"
1468,"ultra"
1469,"nano"
1475,"ultra"
1476,"nano"
1477,"synecho"
1480,"synecho"
1481,"ultra"
1482,"ultra"
1483,"pico"
1486,"nano"
1487,"pico"
1489,"nano"
1490,"pico"
1492,"nano"
1493,"ultra"
1494,"synecho"
1495,"ultra"
1499,"ultra"
1500,"ultra"
1505,"synecho"
1506,"synecho"
1512,"ultra"
1513,"pico"
1515,"pico"
1518,"nano"
1519,"pico"
1523,"synecho"
1524,"pico"
1525,"synecho"
1527,"nano"
1529,"nano"
1530,"ultra"
1533,"ultra"
1535,"pico"
1536,"synecho"
1537,"pico"
1540,"pico"
1541,"nano"
1543,"pico"
1544,"nano"
1546,"pico"
1547,"nano"
1549,"pico"
1556,"pico"
1558,"pico"
1560,"pico"
1563,"ultra"
1564,"ultra"
1565,"pico"
1566,"ultra"
1568,"nano"
1570,"synecho"
1571,"pico"
1572,"synecho"
1575,"synecho"
1577,"pico"
1579,"synecho"
1580,"pico"
1581,"nano"
1584,"pico"
1586,"ultra"
1588,"ultra"
1592,"nano"
1593,"synecho"
1594,"pico"
1595,"synecho"
1596,"nano"
1597,"pico"
1600,"ultra"
1601,"nano"
1602,"nano"
1605,"synecho"
1606,"nano"
1611,"ultra"
1614,"synecho"
1615,"ultra"
1616,"pico"
1619,"pico"
1620,"ultra"
1621,"ultra"
1622,"synecho"
1624,"pico"
1626,"ultra"
1628,"synecho"
1630,"ultra"
1631,"synecho"
1632,"ultra"
1635,"nano"
1636,"synecho"
1637,"ultra"
1638,"pico"
1639,"synecho"
1640,"pico"
1641,"synecho"
1642,"ultra"
1645,"ultra"
1646,"synecho"
1647,"pico"
1650,"ultra"
1652,"ultra"
1654,"pico"
1655,"synecho"
1658,"ultra"
1659,"pico"
1660,"synecho"
1661,"pico"
1662,"ultra"
1663,"synecho"
